Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,60.39,64.04,60.6769,12.78
2,75.63,69.66,46.1269,12.65
3,79.28,76.12,38.8771,12.61
4,85.53,80.06,29.8174,12.61
5,88.90,82.30,24.8620,12.62
6,90.10,83.99,20.0619,12.61
7,92.21,79.49,16.9348,12.65
8,93.89,83.15,13.4911,12.62
9,93.82,78.93,14.0142,12.62
10,94.31,84.55,11.3146,12.61
11,95.65,87.92,10.4223,12.64
12,94.59,86.80,11.2925,12.61
13,96.49,80.06,8.4454,12.59
14,96.56,83.99,6.3193,12.65
15,96.28,73.03,8.3433,12.67
